signal_name,total_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio
VOL_NORM_MOM|15|1.0,143.76949443038436,0.8518735290760705,1.1917992498118397,0.7701457444010196
VOL_NORM_MOM|17|0.5,150.49777925910084,0.8397668396693526,1.2107015055000385,0.8053502235062164
VOL_NORM_MOM|15|0.5,136.0977633901025,0.6603391347328427,0.9115888499329207,0.5138933123263913
VOL_NORM_MOM|20|1.5,126.9412185427762,0.5637527285740707,0.7751022658894658,0.5731510566100863
VOL_NORM_MOM|15|1.5,122.6574526143182,0.5084823166474514,0.6992184967293618,0.51611118384089
ENGULFING_PATTERN,105.5437840095779,0.42930452415376047,0.6381534192348787,0.36215196354656215
VOL_NORM_MOM|17|1.0,119.65231777943563,0.3958581143924524,0.5457905890501011,0.311023598041663
VOL_NORM_MOM|17|1.5,117.93286596293773,0.39115753308472884,0.5349073675744254,0.3768304640562588
MACD|12|26|9,122.68896489489269,0.3908267017363633,0.5546518780081798,0.3567660148815936
VOL_NORM_MOM|25|1.5,114.38664622506785,0.2961788932725472,0.39186306343532357,0.22144101714920708
VOL_BREAKOUT|15,106.475818815439,0.27951301942133727,0.37886963878951835,0.2174000255792674
VOL_NORM_MOM|20|1.0,113.52515212168615,0.2685165558740104,0.35615963311612353,0.22435410507749126
BB|50|2.0,103.93527378494434,0.18464063655746699,0.2995874586435795,0.11672684960704571
VOL_NORM_MOM|20|0.5,108.71725494038395,0.16491130727360034,0.22004902432727172,0.11499974472600394
BB|50|2.5,101.88100640059696,0.14621663424538786,0.22642957421875476,0.10750877221891163
BB|20|2.5,101.35371878476937,0.13200163995485112,0.20433894796687943,0.08576988842984587
VOL_BREAKOUT|20,102.2326158130695,0.10327752485407123,0.13859428140439659,0.08078052043249195
MACD|20|50|10,100.20183811905252,0.003759982631694362,0.005024920500192146,0.0027433830638018994
VOL_NORM_MOM|25|0.5,99.7725054606398,-0.004424185366963492,-0.005866289200254436,-0.002826416666338724
VOL_NORM_MOM|25|1.0,98.2030332854873,-0.03699907295950126,-0.04878870021613096,-0.023333925074711135
VOL_BREAKOUT|25,97.90943242771112,-0.10562357865674532,-0.1372736301195203,-0.054664331485226536
VOL_BREAKOUT|30,94.9607200754008,-0.2688309360894132,-0.34200826112604976,-0.10740642336869585
BB|20|2.0,86.78939288137848,-0.7823395433309751,-1.0370692264535266,-0.22349431033148406
